Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Leena Powertech ...,3.5,101,Private,Mumbai + 6 more,51-200 Employees (India),27
Bull Machines,3.9,100,Private,"Coimbatore,Tamil Nadu + 19 more",501-1k Employees (India),60
GAO Tek,4.2,100,unknown,New York + 9 more,201-500 Employees (India),17
AYM Syntex,4.1,100,Public,"Mumbai,Maharashtra + 4 more",1k-5k Employees (India),37
Nava Bharath Fer...,4.3,100,Private,"Hyderabad/Secunderabad,Telangana + 27 more",51-200 Employees (India),7
Bull Machines,3.9,100,Private,"Coimbatore,Tamil Nadu + 19 more",501-1k Employees (India),60
GAO Tek,4.2,100,unknown,New York + 9 more,201-500 Employees (India),17
Metro Retail.PVT...,3.8,100,Private,Howrah + 24 more,1k-5k Employees (India),13
Sam India Built ...,4.0,100,Private,New Delhi + 12 more,5k-10k Employees (India),24
Parason Machiner...,3.8,100,Private,Aurangabad + 1 more,201-500 Employees (India),45
AIDA Cruises,4.7,100,Private,Rostock + 6 more,201-500 Employees (India),26
Goldstone Cement...,3.4,100,unknown,Kolkata + 9 more,51-200 Employees (India),15
Indus Valley Par...,3.6,100,Private,New York + 5 more,501-1k Employees (India),22
Municipal Corpor...,4.2,100,Public,Mumbai + 3 more,1 Lakh+ Employees (India),134
Etihad Airways,4.3,100,Private,Abu Dhabi + 11 more,51-200 Employees (India),19
Appco Group,3.3,100,Private,Kuala Lumpur + 13 more,501-1k Employees (Global),27
WM Logistics,4.0,100,Private,Houstan,501-1k Employees (India),11
Black & Veatch,4.2,100,Private,Overland Park + 9 more,501-1k Employees (India),107
WaterHealth Inte...,3.5,100,Private,"Hyderabad/Secunderabad,Telangana + 10 more",51-200 Employees (India),17
Abhijeet Group,4.2,100,Private,Nagpur + 19 more,5k-10k Employees (India),34
Anna University,4.4,100,Private,"Chennai,Tamil Nadu + 11 more",1k-5k Employees (India),44
Genus Electrotec...,3.6,100,Private,Gandhidham + 8 more,1k-5k Employees (India),23
Polaris,3.4,100,Private,"Medina,Minnesota + 10 more",201-500 Employees (India),11
Met Technologies,2.6,100,Private,"Kolkata,West Bengal + 1 more",501-1k Employees (India),12
Integra Micro Sy...,4.1,100,Private,Bengaluru + 17 more,51-200 Employees (India),40
Vijaya Bank,4.2,100,Public,"Bangalore/Bengaluru,Karnataka + 32 more",10k-50k Employees (India),91
Graphite India,3.6,100,Public,"Nasik/Nashik,Maharashtra + 5 more",1k-5k Employees (India),60
First American T...,4.0,100,unknown,Bengaluru/Bangalore + 4 more,unknown,unknown
Unimark Remedies,3.1,100,Private,Mumbai + 7 more,201-500 Employees (India),40
EICHER TRUCKS AN...,4.1,100,Public,New Delhi + 33 more,1k-5k Employees (India),14
Bhansali Enginee...,3.3,100,Public,"Mumbai,Maharashtra + 7 more",501-1k Employees (India),38
Ensono,4.1,100,Private,"Downers Grove,Illinois + 4 more",1k-5k Employees (India),53
Smith & Nephew H...,3.8,100,Private,"Mumbai,Maharashtra + 12 more",51-200 Employees (India),166
Maharishi Markan...,4.1,100,unknown,Ambala + 3 more,501-1k Employees (India),29
Fortune Marketin...,3.3,100,Private,"Delhi/NCR,Delhi + 16 more",1k-5k Employees (India),28
NGK Spark Plugs,4.1,100,Private,"Nagoya,Aichi-ken + 10 more",201-500 Employees (India),16
Care IT Solution...,3.0,100,Private,Chennai + 11 more,1k-5k Employees (Global),19
Indian Coast Gua...,4.5,100,Private,"New Delhi,Delhi + 21 more",5k-10k Employees (India),44
Dream India Scho...,3.8,100,Private,Hyderabad + 33 more,11-50 Employees (India),9
Emerson Innovati...,4.1,100,unknown,Pune,201-500 Employees (India),19
Biesse Manufactu...,3.9,100,Private,"Pesaro,Pesaro + 6 more",501-1k Employees (India),53
Garden Reach Shi...,4.2,100,unknown,Kolkata + 3 more,1k-5k Employees (India),88
Apex Hospital,4.1,100,Private,"Jaipur,Rajasthan + 20 more",51-200 Employees (Global),28
Sigma Supply Cha...,3.6,100,Private,Noida + 22 more,51-200 Employees (India),15
Americana Group,4.1,100,Private,Kuwait City + 12 more,50k-1 Lakh Employees (Global),58
Aster Medcity,4.5,100,Private,"Kochi/Cochin,Kerala + 2 more",1k-5k Employees (Global),7
Technique Contro...,4.0,100,Private,"Bangalore/Bengaluru,Karnataka + 10 more",51-200 Employees (India),12
EagleBurgmann,3.6,100,Private,Wolfratshausen + 12 more,501-1k Employees (India),138
Network Techlab,4.1,100,unknown,"Mumbai,Maharashtra + 7 more",501-1k Employees (India),26
Electrical Manuf...,3.9,100,Private,"Kolkata,West Bengal + 33 more",5k-10k Employees (India),69
ITC Limited - Pa...,4.2,100,Private,Secunderabad + 10 more,501-1k Employees (India),unknown
Tata Electronics,4.2,100,unknown,Krishnagiri + 6 more,11-50 Employees (India),unknown
Novel Office,4.4,100,unknown,"Bengaluru/Bangalore,Karnataka + 7 more",51-200 Employees (India),29
Sahajanand Medic...,4.0,100,Private,"Surat,Gujarat + 17 more",501-1k Employees (India),24
Health Prime Ser...,3.9,99,Private,Mumbai + 1 more,201-500 Employees (India),19
Weikfield Foods,4.1,99,Private,Pune + 22 more,501-1k Employees (India),66
Creamy foods,3.7,99,Public,"Noida,Uttar Pradesh + 19 more",201-500 Employees (India),31
Panda Retail Com...,4.4,99,Private,Jeddah + 7 more,1-10 Employees (India),44
Smc Pneumatics I...,4.0,99,Private,"Noida,Uttar Pradesh + 16 more",201-500 Employees (Global),27
Spectraforce Tec...,3.6,99,Private,Raleigh + 7 more,501-1k Employees (India),18
ExcelSoft Techno...,3.7,99,Private,"Mysore,Karnataka + 2 more",501-1k Employees (India),22
Suminter India O...,4.1,99,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),18
Madura Garments,3.7,99,Private,Bangalore + 25 more,51-200 Employees (India),34
Batra Hospital,4.1,99,Private,"Delhi/NCR,New Delhi + 3 more",51-200 Employees (India),35
Sumadhura Infrac...,4.2,99,LLP,"Bangalore/Bengaluru,Karnataka + 2 more",201-500 Employees (India),16
SEForge,3.8,99,Private,Coimbatore + 4 more,201-500 Employees (India),16
Equate Petroche...,4.6,99,unknown,Ahmadi + 7 more,1k-5k Employees (India),27
AYTB,3.8,99,Private,Al Jubail + 6 more,51-200 Employees (India),43
Ansal Properties...,3.6,99,Public,"Delhi/NCR,New Delhi + 10 more",1k-5k Employees (India),55
YES,4.0,99,unknown,Mumbai + 39 more,10k+ Employees (Global),unknown
Spectraforce Tec...,3.6,99,Private,Raleigh + 7 more,501-1k Employees (India),18
J. C. Penney,4.5,99,Private,"Plano,Texas + 5 more",501-1k Employees (India),120
Jagsonpal Pharma...,3.7,99,Public,"Delhi/NCR,Delhi + 26 more",1k-5k Employees (India),58
Health Prime Ser...,3.9,99,Private,Mumbai + 1 more,201-500 Employees (India),19
Rajdeep Buildcon,4.2,99,Private,Pune + 15 more,1k-5k Employees (India),30
Smc Pneumatics I...,4.0,99,Private,"Noida,Uttar Pradesh + 16 more",201-500 Employees (Global),27
Gandour India Fo...,3.9,99,Private,"Hyderabad/Secunderabad,Telangana + 26 more",51-200 Employees (India),23
Immacule Life Sc...,3.8,99,Private,Nalagarh + 8 more,201-500 Employees (India),10
Reliance Naval a...,3.6,99,Private,"Mumbai,Maharashtra + 10 more",5k-10k Employees (India),15
Haldiram Bhujiaw...,3.9,99,Private,"Kolkata,West Bengal + 21 more",201-500 Employees (India),64
Madura Garments,3.7,99,Private,Bangalore + 25 more,51-200 Employees (India),34
Panda Retail Com...,4.4,99,Private,Jeddah + 7 more,1-10 Employees (India),44
Suminter India O...,4.1,99,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),18
SpanIdea,3.8,99,Private,"MILPITAS,California + 5 more",201-500 Employees (India),12
RAKBANK,3.8,99,Public,"Ras Al Khaimah,Ras Al Khaimah + 5 more",1k-5k Employees (Global),46
Tata Main Hospit...,3.8,99,unknown,Jamshedpur + 5 more,1k-5k Employees (Global),114
Puthur Infotech,3.4,99,unknown,"Bangalore/Bengaluru,Karnataka + 25 more",501-1k Employees (India),16
Greenlight Plane...,4.3,99,Private,"Chicago,Illinois + 22 more",201-500 Employees (India),14
Corporation Bank,4.4,99,Public,"Mangaluru/Mangalore,Karnataka + 32 more",10k-50k Employees (India),116
Invenio Business...,3.6,99,Private,"Readin,Berkshire + 5 more",501-1k Employees (India),16
STT Global Data ...,4.2,99,unknown,Mumbai + 11 more,501-1k Employees (India),18
Rama University,3.6,99,Private,"Kanpur,Uttar Pradesh + 8 more",51-200 Employees (India),26
Fipola Retail,4.6,99,Private,"Chennai,Tamil Nadu + 5 more",1k-5k Employees (India),6
Hathi Cement,4.4,99,Private,Mumbai + 11 more,501-1k Employees (India),66
Crescendo Global,4.9,99,Private,"Gurgaon/Gurugram,Haryana + 1 more",51-200 Employees (India),8
Dalmia Bharat Gr...,4.1,2100,Private,New Delhi + 29 more,1 Lakh+ Employees (India),83
Gruh Finance,4.1,98,Public,"Ahmedabad,Gujarat + 46 more",501-1k Employees (India),34
Inorbit Mall,4.3,98,unknown,Mumbai + 4 more,51-200 Employees (India),18
Pharmarack Techn...,3.9,98,Private,"Pune,Maharashtra + 13 more",51-200 Employees (India),7
Mahindra Sanyo S...,3.8,98,Private,"Khopoli,Maharashtra + 2 more",1k-5k Employees (India),89
reliance corpora...,4.5,98,unknown,Thane + 26 more,unknown,unknown
Janatics India,4.0,98,Private,"Coimbatore,Tamil Nadu + 18 more",501-1k Employees (India),45
Sanghi Cement,3.9,98,unknown,Ahmedabad + 9 more,501-1k Employees (India),unknown
Him Teknoforge,4.0,98,Public,"Chandigarh,Chandigarh + 6 more",1k-5k Employees (India),41
FSS,3.5,98,Private,"Chennai,Tamil Nadu + 13 more",1k-5k Employees (India),31
Koenig Solutions,3.2,98,Private,"Delhi/NCR,Delhi + 7 more",201-500 Employees (India),29
Dmi Housing Fina...,4.0,98,Private,New Delhi + 27 more,51-200 Employees (India),14
Oman National En...,4.0,98,unknown,Muscat + 5 more,1k-5k Employees (Global),44
Qube Cinema Tech...,4.2,98,Private,"Chennai,Tamil Nadu + 7 more",501-1k Employees (India),18
Pittie Group,3.2,98,Private,"Mumbai,Maharashtra + 20 more",51-200 Employees (India),31
Wave Infratech,4.0,98,Private,"Noida,Uttar Pradesh + 8 more",1k-5k Employees (India),59
Harvest Gold Ind...,3.9,98,Private,New Delhi + 11 more,501-1k Employees (India),29
Rabindranath Tag...,4.3,98,Public,Kolkata + 3 more,201-500 Employees (India),22
Synokem Pharmace...,4.0,98,Private,New Delhi + 11 more,201-500 Employees (India),39
Supreme Infrastr...,3.5,98,Public,Mumbai + 15 more,1k-5k Employees (India),39
Qualtech Consult...,3.5,98,Private,"Noida,Uttar Pradesh + 2 more",201-500 Employees (India),19
Mandovi Motors,4.3,98,Private,"Bangalore/Bengaluru,Karnataka + 3 more",1k-5k Employees (India),38
STMicroelectroni...,4.3,98,Private,"Geneva,Geneva + 4 more",1k-5k Employees (India),35
ASK-EHS Engineer...,3.2,98,Private,Surat + 13 more,201-500 Employees (India),17
Jaipur National ...,2.9,98,Private,Jaipur + 2 more,201-500 Employees (India),15
Sigma Freudenber...,4.4,98,Private,"Milan,Ohio + 9 more",1k-5k Employees (India),22
Citrus Hotels,4.2,98,Private,Mumbai + 22 more,51-200 Employees (India),14
Don Bosco School,3.9,98,unknown,New Delhi + 30 more,50k-1 Lakh Employees (India),42
Global Cloud Xch...,3.6,98,Private,Hamilton + 5 more,501-1k Employees (India),34
Edwise Internati...,3.9,98,Private,Mumbai + 14 more,201-500 Employees (India),31
eMudhra,3.6,98,Private,"Bangalore/Bengaluru,Karnataka + 14 more",501-1k Employees (India),14
Mayasheel Retail...,3.8,98,Public,Gurgaon + 27 more,51-200 Employees (India),7
adani power maha...,4.2,98,unknown,Ahmedabad + 9 more,unknown,unknown
Sigma,3.6,98,Private,"Altidona,Missouri + 25 more",10k-50k Employees (India),23
Sajjan India,3.6,98,Public,Mumbai + 4 more,51-200 Employees (India),117
Velan Info Servi...,4.4,98,Private,"Dover,Delaware + 1 more",201-500 Employees (India),15
Sikka Group,3.6,98,Private,New Delhi + 5 more,201-500 Employees (India),36
BSR,3.5,98,Private,San Francisco + 16 more,1k-5k Employees (Global),30
doodleblue innov...,4.6,98,Private,"Chennai,Tamil Nadu",201-500 Employees (India),11
Ritu Kumar,3.6,98,Private,Gurgaon + 21 more,501-1k Employees (India),53
Sula Vineyards,4.1,98,Private,Nashik + 10 more,501-1k Employees (India),26
JP Infra,3.8,98,Private,Mumbai + 5 more,201-500 Employees (India),16
Holostik,4.0,98,Public,"Noida,Uttar Pradesh + 10 more",1k-5k Employees (India),31
Holy Family Hosp...,3.9,98,Private,"Delhi/NCR,Delhi + 10 more",1k-5k Employees (India),69
Monginis Foods,3.6,98,Private,"Mumbai,Maharashtra + 19 more",501-1k Employees (India),62
Lanson Toyota,4.0,98,Private,Chennai + 5 more,1k-5k Employees (India),22
Eaton India Inno...,4.1,98,unknown,unknown,1k-5k Employees (India),unknown
HiyaMee,3.5,98,Private,Bengaluru + 6 more,501-1k Employees (India),6
Modern V.R. Secu...,4.4,98,Private,Mumbai + 28 more,51-200 Employees (India),38
Ebix Payment Ser...,3.7,98,unknown,Noida + 27 more,1k-5k Employees (India),unknown
AYN InfoTech,4.0,98,Public,"Pune,Maharashtra + 8 more",11-50 Employees (India),13
Testbook.com,3.6,98,Private,"Mumbai,Maharashtra + 12 more",501-1k Employees (India),8
Impressico Busin...,4.8,98,Private,Noida + 3 more,201-500 Employees (India),14
TestingXperts,3.7,115,Private,"Mechanicsburg,Pennsylvania + 3 more",201-500 Employees (India),26
Boston Scientifi...,4.2,108,Private,"Marlborough,Massachusetts + 11 more",1k-5k Employees (India),43
Western Digital,4.1,103,Private,"San Jose,California + 7 more",1k-5k Employees (India),52
Singer India,4.4,97,Public,"Delhi/NCR,Delhi + 19 more",201-500 Employees (India),45
Azad Engineering,3.4,97,Private,"Hyderabad,Telangana + 4 more",201-500 Employees (India),39
Salini Impregilo,4.7,97,Private,Milan + 5 more,51-200 Employees (India),8
Benteler Automot...,4.2,97,Private,Salzburg + 3 more,201-500 Employees (India),146
Stumpp Schuele &...,3.8,97,Private,Bengaluru + 6 more,201-500 Employees (India),62
Eye-Q Super Spec...,3.6,97,unknown,Gurugram + 19 more,501-1k Employees (Global),15
Singer India,4.4,97,Public,"Delhi/NCR,Delhi + 19 more",201-500 Employees (India),45
Ratnadeep Super ...,4.0,97,Private,"Hyderabad/Secunderabad,Telangana + 8 more",50k-1 Lakh Employees (India),35
Ammann Apollo,4.1,97,Private,Mehsana + 14 more,1k-5k Employees (India),25
ACS,3.5,97,Private,"Duluth,Georgia + 23 more",50k-1 Lakh Employees (India),24
In2IT Technologi...,3.3,97,Private,"Irving,Texas + 8 more",201-500 Employees (India),32
Virinchi Technol...,3.5,97,Private,Edison + 2 more,1k-5k Employees (India),31
Droom,4.3,97,Private,"Gurgaon,Haryana + 2 more",201-500 Employees (India),8
United Telecoms,3.2,97,Private,Bengaluru + 15 more,1k-5k Employees (India),39
Inteva Products,3.6,97,Private,"Troy,Michigan + 1 more",51-200 Employees (India),14
SKS Ispat & Powe...,3.8,97,Private,"Delhi/NCR,Delhi + 4 more",201-500 Employees (India),22
Thirumalai Chemi...,3.7,97,Public,"Ranipet,Tamil Nadu + 4 more",501-1k Employees (India),49
Emmvee Photovolt...,3.9,97,Private,Bengaluru + 2 more,501-1k Employees (India),15
NSK,3.9,97,Public,Tokyo + 10 more,51-200 Employees (India),106
Peerless Hospita...,4.1,97,Private,"Kolkata,West Bengal + 4 more",201-500 Employees (India),90
Globus Infocom,4.5,97,Private,"Noida,Uttar Pradesh + 10 more",201-500 Employees (India),21
Essel Mining & I...,4.3,97,Private,Mumbai + 9 more,1k-5k Employees (India),72
Pyrotech Electro...,3.9,97,Private,"Udaipur,Rajasthan + 6 more",51-200 Employees (India),46
Sangam,4.0,97,Public,"Bhilwara,Rajasthan + 8 more",1k-5k Employees (India),38
SEABIRD LOGISOLU...,3.9,97,Public,"Mumbai,Maharashtra + 16 more",51-200 Employees (India),17
Funlabtech,4.3,97,unknown,Gurgaon/Gurugram + 4 more,201-500 Employees (Global),unknown
Hudson Agile Ven...,4.3,97,unknown,Chennai + 6 more,51-200 Employees (India),unknown
Ashish Life Scie...,4.5,97,Private,"Mumbai,Maharashtra + 3 more",51-200 Employees (India),47
Horiba India,3.7,97,Private,Kyoto + 13 more,201-500 Employees (India),69
Utkarsh India,3.4,97,Public,Kolkata + 7 more,501-1k Employees (India),35
Malabar Group Of...,4.1,97,Private,"Calicut/Kozhikode,Kerala + 21 more",1k-5k Employees (India),29
Aia Engineering,4.1,97,Public,"Ahmedabad,Gujrat + 2 more",1k-5k Employees (India),43
Rubicon Research,3.7,97,Private,"Atlanta,Georgia + 6 more",201-500 Employees (India),23
Imedx Informatio...,3.4,97,unknown,Atlanta + 5 more,201-500 Employees (India),20
Botree Software ...,4.3,97,Private,"Chennai,Tamil Nadu + 12 more",201-500 Employees (India),25
Pothys,4.2,97,Private,"Chennai,Tamil Nadu + 10 more",501-1k Employees (India),99
SDG Software,4.3,97,Private,"Noida,Uttar Pradesh + 2 more",201-500 Employees (India),29
Al Naboodah,4.6,97,unknown,Dubai + 8 more,10k-50k Employees (Global),64
Nipro India Corp...,3.5,97,Private,"Satara,Maharashtra + 10 more",201-500 Employees (India),12
Azad Engineering,3.4,97,Private,"Hyderabad,Telangana + 4 more",201-500 Employees (India),39
Bekaert Industri...,4.3,97,Private,Zwevegem + 1 more,11-50 Employees (India),142
Dynamic Benefici...,4.1,97,Private,"Chandigarh,Chandigarh + 29 more",1k-5k Employees (India),11
Jamia Hamdard Un...,3.9,97,Public,New Delhi,501-1k Employees (India),33
Laborate Pharmac...,3.4,97,Public,"Panipat,Haryana + 15 more",1k-5k Employees (India),37
ETA ASCON Group,4.4,97,Private,Dubai + 12 more,50k-1 Lakh Employees (Global),49
Optimus Drugs,4.0,97,Private,Hyderabad + 2 more,201-500 Employees (India),18
Tessolve Semicon...,3.7,97,unknown,"Bangalore/Bengaluru,Karnataka + 6 more",1k-5k Employees (India),18
Multi Mantech In...,2.9,97,Private,"Ahmedabad,Gujarat + 11 more",51-200 Employees (India),31
Fortune Integrat...,4.1,97,Private,Mumbai + 45 more,51-200 Employees (India),10
Sendan Internati...,4.1,97,Private,Al Jubail + 5 more,1k-5k Employees (India),28
cgi information ...,4.2,97,unknown,Bengaluru/Bangalore + 3 more,10k-50k Employees (India),unknown
Dunkin' Donuts,4.2,97,unknown,Canton + 17 more,1k-5k Employees (Global),72
Relyon Softech,3.8,97,Public,"Bangalore,Karnataka + 12 more",501-1k Employees (India),21
Strategic Learni...,4.2,97,Private,"Gurgaon/Gurugram,Haryana + 18 more",201-500 Employees (India),26
Verifone,3.9,97,Private,Coral Springs + 5 more,501-1k Employees (India),41
Mahindra Agri So...,4.1,146,unknown,Mumbai + 24 more,201-500 Employees (Global),22
ABT Maruti,4.2,96,Private,Coimbatore + 14 more,1k-5k Employees (Global),101
Aczet,4.1,96,Private,Dubai + 8 more,51-200 Employees (India),36
Rasandik Enginee...,3.8,96,Public,"Delhi/NCR,Delhi + 7 more",1k-5k Employees (India),36
Nahar Spinning M...,3.6,96,Public,"Ludhiana,Punjab + 5 more",51-200 Employees (India),42
Ministry Of Educ...,4.5,96,Private,Male + 13 more,51-200 Employees (India),unknown
NPCC Engineering,3.4,96,Private,"Mumbai,Maharashtra + 8 more",201-500 Employees (India),15
Advanced Technol...,4.2,96,Private,Montvale + 6 more,1k-5k Employees (India),22
Jotun Paints,4.1,96,Private,Sandefjord + 18 more,201-500 Employees (India),96
99acres,3.8,96,Public,Noida + 15 more,1k-5k Employees (India),17
Shriram EPC,4.4,96,Public,"Chennai,Tamil Nadu + 10 more",201-500 Employees (India),22
DS-MAX Propertie...,3.7,96,Private,"Bangalore/Bengaluru,Karnataka + 3 more",5k-10k Employees (India),15
Entercoms,3.3,96,Private,"Irving,Texas",201-500 Employees (India),18
Educational Init...,4.2,96,Private,"Ahmedabad,Gujarat + 19 more",201-500 Employees (India),21
Sankara Nethrala...,4.1,96,Private,"Chennai,Tamil Nadu + 2 more",10k-50k Employees (India),44
Unity Infraproje...,3.6,96,Public,"Mumbai,Maharashtra + 15 more",501-1k Employees (India),43
Pearl Polymers,4.6,96,Public,"Delhi/NCR,Delhi + 14 more",501-1k Employees (India),38
O2 Spa,3.0,96,Private,"Hyderabad,Telangana + 16 more",501-1k Employees (India),15
Chanakya IAS Aca...,3.5,96,Private,New Delhi + 21 more,11-50 Employees (India),29
Givaudan,4.0,96,Private,"Vernier,Geneva + 6 more",201-500 Employees (India),127
UAS Internationa...,4.6,96,unknown,New Delhi + 11 more,1-10 Employees (India),unknown
Gunnebo,4.0,96,Private,"Gothenburg,Vastra Gotaland + 10 more",1k-5k Employees (India),90
Sika,4.2,96,Public,"Baar,Zug + 24 more",201-500 Employees (India),112
Corbus,4.4,96,Private,"West Carrollton,Ohio + 3 more",201-500 Employees (India),28
DAS Offshore Eng...,4.2,96,Private,"Navi Mumbai,Maharashtra + 3 more",201-500 Employees (India),30
Arch Pharmalabs,4.2,96,Private,Mumbai + 11 more,201-500 Employees (India),23
Marquardt,3.5,96,Private,Rietheim-Weilheim + 2 more,201-500 Employees (India),26
Winds E World,4.4,96,Public,Kolkata + 12 more,51-200 Employees (India),4
Renewsys India,4.2,96,unknown,Mumbai + 6 more,201-500 Employees (India),11
Hindustan Foods,3.8,96,Public,"Mumbai,Maharashtra + 14 more",1k-5k Employees (India),34
High Court Luckn...,4.5,96,unknown,Lucknow + 18 more,201-500 Employees (Global),unknown
Dr L H Hirananda...,4.0,96,Private,"Mumbai,Maharashtra + 2 more",201-500 Employees (India),18
Agastya Internat...,4.4,96,unknown,Bangalore + 25 more,1k-5k Employees (India),23
Net Access India,3.5,96,Public,"Chennai,Tamil Nadu + 15 more",501-1k Employees (Global),25
Minda Stoneridge...,3.8,96,Private,New Delhi + 2 more,1k-5k Employees (India),27
Niit Foundation,3.9,96,Private,New Delhi + 15 more,501-1k Employees (India),18
West Bengal Stat...,3.7,96,Private,Kolkata + 14 more,5k-10k Employees (India),15
Talentica Softwa...,4.2,96,Private,"Pune,Maharashtra",501-1k Employees (India),19
Cape East,3.7,96,unknown,Montpellier + 7 more,10k-50k Employees (Global),129
Doosan Heavy Ind...,4.3,96,Private,"Seocho,Seoul + 14 more",5k-10k Employees (Global),60
Brandix India Ap...,4.0,96,unknown,"Visakhapatnam/Vizag,Andhra Pradesh",51-200 Employees (India),53
Object Frontier ...,3.7,96,Private,"Chennai,Tamil Nadu",501-1k Employees (India),25
Adroit Synergies,3.8,96,Private,"Noida,Uttar Pradesh + 3 more",501-1k Employees (India),7
Metro Tyres,3.4,96,Public,"Delhi/NCR,Delhi + 24 more",201-500 Employees (India),54
eSense Learning,3.9,96,unknown,"Mumbai,Maharashtra + 14 more",201-500 Employees (India),14
Atidiv,3.3,96,Private,"Pune,Maharashtra",201-500 Employees (India),13
Narayana Medical...,4.1,96,Private,Nellore + 5 more,1k-5k Employees (India),43
AM InfoWeb,3.8,96,Private,"Ahmedabad,Gujarat + 1 more",501-1k Employees (India),14
Jayem Automotive...,3.0,96,Private,"Chennai,Tamil Nadu + 3 more",501-1k Employees (India),31
Ts Tech Sun Indi...,4.1,96,Private,Noida + 7 more,51-200 Employees (India),68
Comvision,4.9,96,Private,Gurgaon + 4 more,11-50 Employees (India),unknown
Satvat Infosol,3.8,96,Private,"Chennai,Tamil Nadu + 2 more",201-500 Employees (India),23
INDIA TODAY GROU...,3.9,265,Private,Noida + 9 more,1k-5k Employees (India),47
DynPro,4.0,95,Private,"Bangalore/Bengaluru,Karnataka + 10 more",51-200 Employees (India),26
Costa Coffee,4.1,95,Private,Dunstable + 16 more,10k-50k Employees (India),51
SPRINKLR,3.5,95,Private,"New York City,New York + 3 more",201-500 Employees (India),13
Enercon,3.5,95,Private,"Bremen,Bremen + 19 more",201-500 Employees (India),38
Tiger Analytics,4.2,95,Private,Santa Clara + 3 more,1k-5k Employees (India),11
Kayjay Forging,4.2,95,Private,"Ludhiana,Punjab + 2 more",1k-5k Employees (India),34
Emami Frank Ross,3.7,95,Public,"Kolkata,West Bengal + 7 more",201-500 Employees (India),116
E-meditek Tpa Se...,3.7,95,Private,Gurgaon + 16 more,501-1k Employees (Global),22
Jbm Auto Compone...,3.7,95,Private,Gurgaon + 19 more,10k-50k Employees (Global),39
Shri Bajrang Pow...,4.3,95,Public,Mumbai + 5 more,1k-5k Employees (India),20
Exl Service Sez ...,4.0,95,unknown,Noida + 9 more,unknown,unknown
Utkal Alumina In...,4.2,95,Public,Rayagada + 6 more,11-50 Employees (India),29
The Calcutta Med...,4.1,95,unknown,Kolkata + 2 more,1k-5k Employees (India),53
Aditya Birla Ide...,3.8,95,unknown,Chennai + 30 more,201-500 Employees (Global),unknown
Metacube Softwar...,4.4,95,Private,"Jaipur,Rajasthan + 1 more",1k-5k Employees (India),18
Sanmar Group,3.7,95,Public,Chennai + 13 more,1k-5k Employees (Global),50
Zerodha,4.2,95,Public,Bangalore + 17 more,1k-5k Employees (India),12
Prudent Corporat...,4.2,95,Private,"Ahmedabad,Gujarat + 33 more",501-1k Employees (India),22
Frost & Sullivan,3.6,95,Private,"Santa Clara,California + 6 more",201-500 Employees (India),61
Bharti Retail,4.5,95,Private,New Delhi + 35 more,201-500 Employees (India),46
EVOSYS,3.9,95,Private,"Ahmedabad,Gujarat + 5 more",1k-5k Employees (India),16
Sun Technologies...,3.9,95,Private,Atlanta + 5 more,201-500 Employees (India),27
Software AG,4.3,95,Private,"Darmstadt,Hesse + 6 more",501-1k Employees (India),53
Aamby Valley Cit...,4.3,95,Public,Pune + 5 more,1k-5k Employees (India),19
Philip Morris In...,4.2,95,Private,New York + 18 more,51-200 Employees (India),35
Trigyn Technolog...,3.9,95,Public,"Edison,New Jersey + 6 more",501-1k Employees (India),36
Pharmed,4.1,95,Public,"Bangalore/Bengaluru,Karnataka + 25 more",501-1k Employees (India),76
Olectra Greentec...,3.3,95,Public,"Hyderabad/Secunderabad,Telangana + 7 more",201-500 Employees (India),30
Chennais Amirta ...,3.3,95,Private,"Chennai,Tamil Nadu + 10 more",501-1k Employees (India),12
Dealmoney Securi...,3.3,95,unknown,"Thane,Maharashtra + 15 more",501-1k Employees (India),16
Amazon Seller Ce...,4.3,95,unknown,Hyderabad/Secunderabad + 26 more,10k-50k Employees (India),unknown
Indian Terrain F...,3.9,95,Public,"Chennai,Tamil Nadu + 25 more",201-500 Employees (India),22
Q Way Technologi...,3.3,95,Private,"Princeton,New Jersey",51-200 Employees (India),12
Five Splash Info...,3.2,95,unknown,Udaipur + 10 more,51-200 Employees (India),unknown
Sv Edusports,4.4,95,Private,Bangalore + 26 more,1 Lakh+ Employees (India),13
Splash Fashions,4.1,95,unknown,Dubai + 21 more,51-200 Employees (India),29
CDE Asia,4.6,95,unknown,Kolkata + 4 more,201-500 Employees (India),16
Rudrabhishek Ent...,3.0,95,Public,"Delhi/NCR,Delhi + 13 more",201-500 Employees (India),30
Accuster Technol...,3.1,95,Private,"Delhi/NCR,New Delhi + 6 more",51-200 Employees (India),13
Mövenpick Hotels...,4.6,95,Private,Paris + 16 more,51-200 Employees (India),49
Swal Corporation,4.2,95,unknown,Mumbai + 32 more,11-50 Employees (India),43
Roha Dyechem,3.4,95,Private,"Mumbai,Maharashtra + 8 more",501-1k Employees (India),50
Pulse Pharmaceut...,3.8,95,unknown,Hyderabad + 12 more,51-200 Employees (India),25
American Oncolog...,4.2,95,Private,"Pittsburgh,Pennsylvania + 12 more",1-10 Employees (India),10
