Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
eClerx,3.7,3000,Public,"Mumbai,Maharashtra + 15 more",5k-10k Employees (India),22
Delhivery,4.2,3300,Private,"Delhi,NCT + 441 more",10k-50k Employees (India),11
Max Life Insuran...,4.2,3000,JV,"Gurgaon/Gurugram,Haryana + 273 more",10k-50k Employees (India),22
Wipro BPS,3.8,2900,unknown,Bengaluru + 38 more,1 Lakh+ Employees (India),22
AU Small Finance...,4.1,3900,Private,"Jaipur,Rajasthan + 282 more",10k-50k Employees (India),26
TVS Motor,4.1,3100,Public,"Chennai,Tamil Nadu + 234 more",10k-50k Employees (India),43
First Source,3.9,2900,Public,"Mumbai,Maharashtra + 44 more",10k-50k Employees (India),21
Tata Projects,4.2,3000,Public,"Mumbai,Maharashtra + 191 more",10k-50k Employees (India),43
Oyo Rooms,3.5,3100,Private,"Gurgaon,Haryana + 102 more",1k-5k Employees (India),9
Hero MotoCorp,4.3,3000,Public,"Gurgaon/Gurugram,Haryana + 261 more",5k-10k Employees (India),38
Oracle,3.9,3600,Public,"Austin,Texas + 31 more",50k-1 Lakh Employees (India),45
JLL,4.3,2900,Private,"Mumbai,Maharashtra + 59 more",10k-50k Employees (India),25
Cyient,3.7,2800,Public,"Hyderabad/Secunderabad,Telangana + 25 more",10k-50k Employees (India),31
Hexaware Technol...,3.8,2900,Public,"Mumbai,Maharashtra + 30 more",10k-50k Employees (India),32
JSW Steel,3.9,3100,Public,"Mumbai,Maharashtra + 89 more",10k-50k Employees (India),40
TATA Steel,4.1,4400,Public,"Mumbai,Maharashtra + 120 more",10k-50k Employees (India),115
Hyundai Motor,4.1,3800,Private,Seoul + 218 more,10k-50k Employees (India),55
Bosch,4.3,6000,Public,"Gerlingen,Baden-Wuerttemberg + 83 more",10k-50k Employees (India),136
JustDial,3.6,2700,Public,"Mumbai,Maharashtra + 122 more",10k-50k Employees (India),26
Atos Syntel,3.8,4300,Private,"Troy,Michigan + 14 more",10k-50k Employees (India),42
Samsung,4.0,7200,Public,Seoul + 346 more,10k-50k Employees (India),84
iEnergizer,3.5,2600,Private,"Noida,Uttar Pradesh + 14 more",5k-10k Employees (India),22
Quess,3.9,7800,Public,Bangalore + 308 more,10k-50k Employees (India),15
Megha Engineerin...,4.2,2600,Private,"Hyderabad/Secunderabad,Telangana + 188 more",1k-5k Employees (India),33
Viatris,4.3,2500,unknown,"Canonsburg,Pennsylvania + 61 more",10k-50k Employees (India),61
BNY Mellon,4.2,2500,Private,"New York City,New York + 9 more",10k-50k Employees (India),18
L&T Construction,4.2,3400,Public,Chennai + 254 more,10k-50k Employees (India),78
Omega Healthcare,3.8,2500,Private,Florida + 27 more,5k-10k Employees (India),18
Fullerton India,4.2,2400,Private,Mumbai + 390 more,10k-50k Employees (India),15
SBI Cards & Paym...,3.8,2400,Government,"Gurgaon/Gurugram,Haryana + 231 more",10k-50k Employees (India),24
UnitedHealth,4.2,4300,Private,"Minnetonka,Minnesota + 11 more",10k-50k Employees (India),45
Aditya Birla Fas...,4.3,4000,Private,Mumbai + 194 more,10k-50k Employees (India),7
Cummins,4.4,3000,unknown,"Columbus,Indiana + 81 more",10k-50k Employees (India),60
Manappuram Finan...,4.0,3100,Public,"Thrissur/Trichur,Kerala + 360 more",10k-50k Employees (India),73
Godrej & Boyce M...,3.9,2700,Private,"Mumbai,Maharashtra + 115 more",10k-50k Employees (India),125
D Mart,4.0,2400,Private,"Mumbai,Maharashtra + 153 more",10k-50k Employees (India),22
IQVIA,4.2,2500,Partnership,Durham + 38 more,10k-50k Employees (India),40
Axis Direct,4.0,2400,Private,"San Mateo,California + 265 more",1k-5k Employees (India),11
Dominos Pizza,4.1,2300,Public,"Ypsilanti,Michigan + 200 more",1k-5k Employees (India),62
CBRE,4.3,2300,Private,"Los Angeles,California + 52 more",10k-50k Employees (India),116
Wipro Consumer ...,3.9,28500,Private,"Bangalore/Bengaluru,Karnataka + 70 more",1k-5k Employees (India),77
Equitas Small Fi...,4.2,2300,Private,"Chennai,Tamil Nadu + 285 more",10k-50k Employees (India),15
Royal Enfield,4.2,2300,Private,"Gurgaon/Gurugram,Haryana + 228 more",1k-5k Employees (India),67
Wipro Infotech,4.0,2300,Private,Bangalore + 116 more,1 Lakh+ Employees (Global),77
Nagarjuna Constr...,4.2,2400,Public,"Hyderabad/Secunderabad,Telangana + 173 more",1k-5k Employees (India),24
JBM Group,4.1,2800,Public,"Gurgaon/Gurugram,Haryana + 73 more",10k-50k Employees (India),39
Nagarro,4.6,2400,Private,"Munich,Bavaria + 29 more",10k-50k Employees (India),26
State Bank of In...,3.9,4400,unknown,"Mumbai,Maharashtra + 333 more",1 Lakh+ Employees (India),216
Schneider Electr...,4.2,3800,Private,Paris + 78 more,10k-50k Employees (India),23
Tata Communicati...,4.2,3000,Public,"Mumbai,Maharashtra + 87 more",10k-50k Employees (India),36
ICICI Lombard Ge...,3.9,2200,Public,"Mumbai,Maharashtra + 193 more",10k-50k Employees (India),21
Bajaj Auto,4.1,6300,Public,"Pune,Maharashtra + 197 more",5k-10k Employees (India),77
UST,4.1,2400,Private,"Aliso Viejo,California + 32 more",10k-50k Employees (India),21
Amdocs,4.1,2200,Private,"Chesterfield,Missouri + 12 more",10k-50k Employees (India),40
Muthoot Fincorp,4.0,2200,Private,"Trivandrum/Thiruvananthapuram,Kerala + 411 more",10k-50k Employees (India),135
Bosch Global Sof...,4.2,2200,Private,Gerlingen + 19 more,10k-50k Employees (India),23
Flex,4.1,2200,Private,San Jose + 35 more,10k-50k Employees (India),53
LG Electronics,4.1,2200,Public,"Seoul,Seoul + 183 more",10k-50k Employees (India),64
John Deere,4.4,2400,Private,"Moline,Illinois + 95 more",5k-10k Employees (India),21
Ford Motor,4.5,2500,Public,"Dearborn,Michigan + 101 more",10k-50k Employees (India),119
L&T Financial Se...,4.0,2100,Public,"Mumbai,Maharashtra + 372 more",10k-50k Employees (India),28
Whitehat jr,3.8,2100,Private,"Mumbai,Maharashtra + 44 more",5k-10k Employees (India),4
Hetero Drugs,4.0,2500,Private,"Hyderabad/Secunderabad,Telangana + 31 more",1k-5k Employees (India),29
Sodexo,4.1,2300,Private,Issy Les Moulineaux + 105 more,5k-10k Employees (India),14
Ecom Express,4.3,2100,Private,"Gurgaon,Haryana + 453 more",10k-50k Employees (India),10
Indiamart Interm...,3.8,2200,Private,"Noida,Uttar Pradesh + 97 more",10k-50k Employees (India),26
KEC Internationa...,4.2,2100,Public,"Mumbai,Maharashtra + 201 more",5k-10k Employees (India),77
SBI Life Insuran...,3.9,2100,Government,"Mumbai,Maharashtra + 406 more",10k-50k Employees (India),21
Abbott Healthcar...,4.2,3400,Public,"Illinois City,Illinois + 138 more",10k-50k Employees (India),31
Cholamandalam In...,4.3,2100,Private,"Chennai,Tamil Nadu + 465 more",5k-10k Employees (India),44
Motherson Sumi S...,3.9,3400,Public,"Noida,Uttar Pradesh + 61 more",5k-10k Employees (India),36
Capgemini Techno...,4.1,2100,unknown,Bengaluru/Bangalore + 24 more,unknown,unknown
GlobalLogic,4.0,2000,Private,"San Jose,California + 25 more",1k-5k Employees (India),22
Hindustan Coca C...,4.4,2000,Private,Bangalore + 164 more,5k-10k Employees (India),25
Simplex Infrastr...,3.7,2200,Public,"Kolkata,West Bengal + 121 more",1k-5k Employees (India),98
Thermax,4.3,2300,Public,"Pune,Maharashtra + 117 more",1k-5k Employees (India),42
Intas Pharmaceut...,4.3,2000,Private,"Ahmedabad,Gujrat + 97 more",10k-50k Employees (India),22
Subros,4.0,2000,Public,"Noida,Uttar Pradesh + 32 more",1k-5k Employees (India),37
Muthoot Group,3.7,4400,Public,"Wedel,Schleswig-holstein + 320 more",1k-5k Employees (India),135
